시군구코드,지정년도,지정번호,신청일자,지정일자,업소명,소재지도로명,소재지지번,허가(신고)번호,업태명,주된음식,영업장면적(㎡),행정동명,급수시설구분,소재지전화번호
3070000,2020,10,20200929,20201124,만복식당,서울특별시 성북구 개운사길 34 지1층 (안암동5가),서울특별시 성북구 안암동5가  15번지 14호  ,3070000-101-2019-00234,한식,삼겹살,108.6,안암동,,
3070000,2020,11,20200929,20201124,원진노기순청국장,서울특별시 성북구 안암로9가길 94 1층 (안암동5가),서울특별시 성북구 안암동5가  136번지 12호  ,3070000-101-2019-00312,한식,청국장,129.85,안암동,,02  925 5733
3070000,2020,4,20200929,20201124,약산 전통육개장 흑염소 전문점,서울특별시 성북구 솔샘로 71 (정릉동1층),서울특별시 성북구 정릉동  290번지 54호  1층,3070000-101-2010-00141,한식,돼지갈비,85.01,정릉제4동,상수도전용,02  982 5070
3070000,2020,2,20200929,20201124,녹천,서울특별시 성북구 동소문로2길 51 (동소문동2가),서울특별시 성북구 동소문동2가  153번지  ,3070000-101-2007-00190,한식,동태탕,105.6,삼선동,상수도전용,02 7478005
3070000,2020,2,20200929,20201124,녹천,서울특별시 성북구 동소문로2길 51 (동소문동2가),서울특별시 성북구 동소문동2가  153번지  ,3070000-101-2007-00190,한식,동태탕,105.6,삼선동,상수도전용,02 7478005
3070000,2020,7,20200929,20201124,제주고깃집,서울특별시 성북구 보문로 144 (보문동1가 외 1필지 보문뉴타운),서울특별시 성북구 보문동1가  9번지 8호  외 1필지 보문뉴타운,3070000-101-2017-00052,식육(숯불구이),오겹살,122.1,보문동,,
3070000,2020,7,20200929,20201124,우리할매떡볶이 정릉점,서울특별시 성북구 보문로 144 (보문동1가 외 1필지 보문뉴타운),서울특별시 성북구 보문동1가  9번지 8호  외 1필지 보문뉴타운,3070000-101-2017-00052,식육(숯불구이),오겹살,122.1,보문동,,
3070000,2020,6,20200929,20201124,김태완의초밥좋은날,서울특별시 성북구 동소문로20길 28-4 (동소문동5가 2층),서울특별시 성북구 동소문동5가  107번지  ,3070000-101-2012-00208,일식,초밥생선회,95,삼선동,,02  923 8628
3070000,2019,89,20190927,20191120,중경당,서울특별시 성북구 창경궁로43길 30 1층 (성북동1가),서울특별시 성북구 성북동1가  87번지  ,3070000-101-2018-00163,중식,,72.42,성북동,,
3070000,2019,87,20190926,20191120,유정식당,서울특별시 성북구 북악산로29길 21 (종암동),서울특별시 성북구 종암동  33번지 78호  ,3070000-101-1995-01990,한식,,374.27,종암동,상수도전용,02 9286256
